workerid,language,tournamentCondition,player1color,player2color,player3color,sentence,condition,conditionOrder,correctAnswer,advancesCorrectFirstTime,advances,trialnum,response,rt,trainingCorrect
ACPPMD6DDE3T2,English,any advances,yellow,royalblue,lavender,Player A will be pleased,all-all-all,all-all-all,A-B-C,yes,A-B-C,13,6,14206,NA
ACPPMD6DDE3T2,English,any advances,lavender,lightblue,wheat,Every player hit some of his shots,none-half-half,half-none-half,A-C,yes,A-C,12,1,7946,NA
ACPPMD6DDE3T2,English,any advances,lightorange,royalblue,lavender,Player C will advance,none-half-half,half-none-half,A-C,yes,A-C,15,7,7765,NA
ACPPMD6DDE3T2,English,any advances,purple,tan,grey,Every player hit none of his shots,none-half-all,half-none-all,A-C,yes,A-C,14,1,7585,NA
ACPPMD6DDE3T2,English,any advances,darkorange,lightblue,royalblue,Player A made shots,none-half-all,half-all-none,A-B,yes,A-B,17,6,11496,NA
ACPPMD6DDE3T2,English,any advances,pink,tan,yellow,No player hit all of his shots,none-half-all,half-none-all,A-C,yes,A-C,16,1,10141,NA
ACPPMD6DDE3T2,English,any advances,brown,lavender,yellow,Three players will advance,none-all-all,none-all-all,B-C,yes,B-C,19,1,8013,NA
ACPPMD6DDE3T2,English,any advances,darkorange,tan,grey,Player A will advance,none-half-all,half-all-none,A-B,yes,A-B,18,7,28665,NA
ACPPMD6DDE3T2,English,any advances,tan,midnight,lavender,Player A was the star player of the round,most-none-all,most-none-all,A-C,yes,A-C,-1,1,13761,yes
ACPPMD6DDE3T2,English,any advances,darkorange,purple,brown,Player C messed up,all-all-none,all-all-none,A-B,yes,A-B,-3,7,30362,no
ACPPMD6DDE3T2,English,any advances,lavender,royalblue,darkorange,Player B will advance to the next round,all-few-none,all-few-none,A-B,yes,A-B,-2,7,14157,yes
A115PR5C0O03UJ,english,any advances,wheat,tan,lightorange,Player A made shots,none-half-half,half-half-none,A-B,yes,A-B,24,7,6460,NA
A115PR5C0O03UJ,english,any advances,lavender,royalblue,lightorange,None of the players will advance,none-half-half,half-half-none,A-B,yes,A-B,25,1,6195,NA
A115PR5C0O03UJ,english,any advances,brown,grey,royalblue,Two players will advance,half-half-all,half-half-all,A-B-C,yes,A-B-C,26,2,7552,NA
A115PR5C0O03UJ,english,any advances,darkorange,midnight,purple,Player C will be disappointed,half-all-all,half-all-all,A-B-C,yes,A-B-C,27,1,9181,NA
A115PR5C0O03UJ,english,any advances,yellow,lavender,grey,Exactly one player hit all of his shots,half-all-all,all-half-all,A-B-C,yes,A-B-C,20,1,8687,NA
A115PR5C0O03UJ,english,any advances,grey,lightblue,purple,No player hit all of his shots,none-none-all,none-all-none,B,yes,B,21,1,6204,NA
A115PR5C0O03UJ,english,any advances,yellow,royalblue,midnight,Every player hit some of his shots,none-none-all,all-none-none,A,yes,A,22,1,4719,NA
A115PR5C0O03UJ,english,any advances,tan,pink,brown,Player B will be disappointed,half-all-all,half-all-all,A-B-C,yes,A-B-C,23,1,8538,NA
A115PR5C0O03UJ,english,any advances,yellow,lavender,grey,No player hit none of his shots,none-none-all,none-all-none,B,yes,B,28,1,6774,NA
A115PR5C0O03UJ,english,any advances,lavender,pink,grey,Most of the players will advance,half-half-half,half-half-half,A-B-C,yes,A-B-C,1,4,12552,NA
A115PR5C0O03UJ,english,any advances,wheat,pink,brown,Player C will be pleased,none-none-none,none-none-none,none,yes,none,0,1,11324,NA
A115PR5C0O03UJ,english,any advances,wheat,seafoam,midnight,Exactly one player hit none of his shots,none-none-none,none-none-none,none,yes,none,3,1,16618,NA
A115PR5C0O03UJ,english,any advances,darkorange,lightblue,grey,Player B will advance,none-half-half,half-half-none,A-B,yes,A-B,2,1,9167,NA
A115PR5C0O03UJ,english,any advances,lightblue,tan,seafoam,Every player hit all of his shots,none-none-none,none-none-none,none,yes,none,5,1,10457,NA
A115PR5C0O03UJ,english,any advances,royalblue,midnight,purple,Player C will advance,none-none-half,half-none-none,A,yes,A,4,1,8863,NA
A115PR5C0O03UJ,english,any advances,wheat,royalblue,tan,Player B made shots,none-none-half,none-half-none,B,yes,B,7,7,8022,NA
A115PR5C0O03UJ,english,any advances,lavender,purple,brown,All of the players will advance,all-all-all,all-all-all,A-B-C,yes,A-B-C,6,7,11010,NA
A115PR5C0O03UJ,english,any advances,brown,royalblue,lightblue,Player C made shots,none-half-all,none-all-half,B-C,yes,B-C,9,6,9678,NA
A115PR5C0O03UJ,english,any advances,pink,purple,midnight,One player will advance,none-half-all,all-half-none,A-B,yes,A-B,8,1,10947,NA
A115PR5C0O03UJ,english,any advances,darkorange,lavender,pink,No player hit some of his shots,none-all-all,all-all-none,A-B,yes,A-B,11,3,13107,NA
A115PR5C0O03UJ,english,any advances,yellow,lavender,royalblue,Player A will advance,half-half-half,half-half-half,A-B-C,yes,A-B-C,10,2,7321,NA
A115PR5C0O03UJ,english,any advances,lightblue,pink,darkorange,Exactly one player hit some of his shots,none-half-half,half-none-half,A-C,yes,A-C,13,1,9106,NA
